Date,year,month,Hang_Seng
1/31/1995,1995,1,8327.5
2/28/1995,1995,2,8587.700195
3/31/1995,1995,3,8361
4/30/1995,1995,4,9407.400391
5/31/1995,1995,5,9206.5
6/30/1995,1995,6,9453.400391
7/31/1995,1995,7,9179.900391
8/31/1995,1995,8,9646.299805
9/30/1995,1995,9,9782.400391
10/31/1995,1995,10,9813.299805
11/30/1995,1995,11,10073.40039
12/31/1995,1995,12,11359.7002
1/31/1996,1996,1,11125.7002
2/29/1996,1996,2,10957.2002
3/31/1996,1996,3,10964.5
4/30/1996,1996,4,11264.7002
5/31/1996,1996,5,11020.90039
6/30/1996,1996,6,10681.40039
7/31/1996,1996,7,11159
8/31/1996,1996,8,11902.40039
9/30/1996,1996,9,12477.59961
10/31/1996,1996,10,13393.90039
11/30/1996,1996,11,13451.5
12/31/1996,1996,12,13321.79981
1/31/1997,1997,1,13398.7002
2/28/1997,1997,2,12534.29981
3/31/1997,1997,3,12903.29981
4/30/1997,1997,4,14757.79981
5/31/1997,1997,5,15196.79981
6/30/1997,1997,6,16365.7002
7/31/1997,1997,7,14135.2002
8/31/1997,1997,8,15049.29981
9/30/1997,1997,9,10623.79981
10/31/1997,1997,10,10526.90039
11/30/1997,1997,11,10722.79981
12/31/1997,1997,12,9252.400391
1/31/1998,1998,1,11480.7002
2/28/1998,1998,2,11518.7002
3/31/1998,1998,3,10383.67969
4/30/1998,1998,4,8934.55957
5/31/1998,1998,5,8543.099609
6/30/1998,1998,6,7936.200195
7/31/1998,1998,7,7275.040039
8/31/1998,1998,8,7883.459961
9/30/1998,1998,9,10154.94043
10/31/1998,1998,10,10402.32031
11/30/1998,1998,11,10048.58008
12/31/1998,1998,12,9506.900391
1/31/1999,1999,1,9858.490234
2/28/1999,1999,2,10942.2002
3/31/1999,1999,3,13333.2002
4/30/1999,1999,4,12147.12012
5/31/1999,1999,5,13532.13965
6/30/1999,1999,6,13186.86035
7/31/1999,1999,7,13482.76953
8/31/1999,1999,8,12733.24023
9/30/1999,1999,9,13256.9502
10/31/1999,1999,10,15377.19043
11/30/1999,1999,11,16962.09961
12/31/1999,1999,12,15532.33984
1/31/2000,2000,1,17169.43945
2/29/2000,2000,2,17406.53906
3/31/2000,2000,3,15519.29981
4/30/2000,2000,4,14713.86035
5/31/2000,2000,5,16155.78027
6/30/2000,2000,6,16840.98047
7/31/2000,2000,7,17097.50977
8/31/2000,2000,8,15648.98047
9/30/2000,2000,9,14895.33984
10/31/2000,2000,10,13984.38965
11/30/2000,2000,11,15095.53027
12/31/2000,2000,12,16102.34961
1/31/2001,2001,1,14787.87012
2/28/2001,2001,2,12760.63965
3/31/2001,2001,3,13386.04004
4/30/2001,2001,4,13174.41016
5/31/2001,2001,5,13042.53027
6/30/2001,2001,6,12316.69043
7/31/2001,2001,7,11090.48047
8/31/2001,2001,8,9950.700195
9/30/2001,2001,9,10073.96973
10/31/2001,2001,10,11279.25
11/30/2001,2001,11,11397.20996
12/31/2001,2001,12,10725.29981
1/31/2002,2002,1,10482.54981
2/28/2002,2002,2,11032.91992
3/31/2002,2002,3,11497.58008
4/30/2002,2002,4,11301.94043
5/31/2002,2002,5,10598.54981
6/30/2002,2002,6,10267.36035
7/31/2002,2002,7,10043.87012
8/31/2002,2002,8,9072.209961
9/30/2002,2002,9,9441.25
10/31/2002,2002,10,10069.87012
11/30/2002,2002,11,9321.290039
12/31/2002,2002,12,9258.950195
1/31/2003,2003,1,9122.660156
2/28/2003,2003,2,8634.450195
3/31/2003,2003,3,8717.219727
4/30/2003,2003,4,9487.379883
5/31/2003,2003,5,9577.120117
6/30/2003,2003,6,10134.83008
7/31/2003,2003,7,10908.99023
8/31/2003,2003,8,11229.87012
9/30/2003,2003,9,12190.09961
10/31/2003,2003,10,12317.46973
11/30/2003,2003,11,12575.94043
12/31/2003,2003,12,13289.37012
1/31/2004,2004,1,13907.03027
2/29/2004,2004,2,12681.66992
3/31/2004,2004,3,11942.95996
4/30/2004,2004,4,12198.24023
5/31/2004,2004,5,12285.75
6/30/2004,2004,6,12238.03027
7/31/2004,2004,7,12850.28027
8/31/2004,2004,8,13120.03027
9/30/2004,2004,9,13054.66016
10/31/2004,2004,10,14060.04981
11/30/2004,2004,11,14230.13965
12/31/2004,2004,12,13721.69043
1/31/2005,2005,1,14195.34961
2/28/2005,2005,2,13516.87988
3/31/2005,2005,3,13908.96973
4/30/2005,2005,4,13867.07031
5/31/2005,2005,5,14201.05957
6/30/2005,2005,6,14880.98047
7/31/2005,2005,7,14903.54981
8/31/2005,2005,8,15428.51953
9/30/2005,2005,9,14386.37012
10/31/2005,2005,10,14937.13965
11/30/2005,2005,11,14876.42969
12/31/2005,2005,12,15753.13965
1/31/2006,2006,1,15918.48047
2/28/2006,2006,2,15805.04004
3/31/2006,2006,3,16661.30078
4/30/2006,2006,4,15857.88965
5/31/2006,2006,5,16267.62012
6/30/2006,2006,6,16971.33984
7/31/2006,2006,7,17392.26953
8/31/2006,2006,8,17543.05078
9/30/2006,2006,9,18324.34961
10/31/2006,2006,10,18960.48047
11/30/2006,2006,11,19964.7207
12/31/2006,2006,12,20106.41992
1/31/2007,2007,1,19651.50977
2/28/2007,2007,2,19800.92969
3/31/2007,2007,3,20318.98047
4/30/2007,2007,4,20634.4707
5/31/2007,2007,5,21772.73047
6/30/2007,2007,6,23184.93945
7/31/2007,2007,7,23984.14063
8/31/2007,2007,8,27142.4707
9/30/2007,2007,9,31352.58008
10/31/2007,2007,10,28643.60938
11/30/2007,2007,11,27812.65039
12/31/2007,2007,12,23455.74023
1/31/2008,2008,1,24331.66992
2/29/2008,2008,2,22849.19922
3/31/2008,2008,3,25755.34961
4/30/2008,2008,4,24533.11914
5/31/2008,2008,5,22102.00977
6/30/2008,2008,6,22731.09961
7/31/2008,2008,7,21261.89063
8/31/2008,2008,8,18016.21094
9/30/2008,2008,9,13968.66992
10/31/2008,2008,10,13888.24023
11/30/2008,2008,11,14387.48047
12/31/2008,2008,12,13278.20996
1/31/2009,2009,1,12811.57031
2/28/2009,2009,2,13576.01953
3/31/2009,2009,3,15520.99023
4/30/2009,2009,4,18171
5/31/2009,2009,5,18378.73047
6/30/2009,2009,6,20573.33008
7/31/2009,2009,7,19724.18945
8/31/2009,2009,8,20955.25
9/30/2009,2009,9,21752.86914
10/31/2009,2009,10,21821.5
11/30/2009,2009,11,21872.5
12/31/2009,2009,12,20121.99023
1/31/2010,2010,1,20608.69922
2/28/2010,2010,2,21239.34961
3/31/2010,2010,3,21108.58984
4/30/2010,2010,4,19765.18945
5/31/2010,2010,5,20128.99023
6/30/2010,2010,6,21029.81055
7/31/2010,2010,7,20536.49023
8/31/2010,2010,8,22358.16992
9/30/2010,2010,9,23096.32031
10/31/2010,2010,10,23007.99023
11/30/2010,2010,11,23035.44922
12/31/2010,2010,12,23447.33984
1/31/2011,2011,1,23338.01953
2/28/2011,2011,2,23527.51953
3/31/2011,2011,3,23720.81055
4/30/2011,2011,4,23684.13086
5/31/2011,2011,5,22398.09961
6/30/2011,2011,6,22440.25
7/31/2011,2011,7,20534.84961
8/31/2011,2011,8,17592.41016
9/30/2011,2011,9,19864.86914
10/31/2011,2011,10,17989.34961
11/30/2011,2011,11,18434.39063
12/31/2011,2011,12,20390.49023
1/31/2012,2012,1,21680.08008
2/29/2012,2012,2,20555.58008
